Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Health_Status,Health_Label,Action,Block_Name,Tilt_Offset_m,Tilt_Direction,Tilt_Angle_deg,Tilt_Status,Crown_Ellipticity,Crown_Px,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Status,SR_Ref_Corrected,SR_Area_Ha
446,109.22396819968552,-0.4613490150010555,4.21,0.4661354422569275,0.8668,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.151,E,2.05,Tegak,1.275,8277,Healthy,Good,None,OK,398,3.0
466,109.22405767158844,-0.4614082721083559,4.2,0.4285255372524261,0.7667,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.099,NW,1.36,Tegak,1.191,9798,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
356,109.22406148510916,-0.4610657968516981,4.17,0.434009313583374,0.7812,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.085,N,1.17,Tegak,1.03,12960,Normal,Moderate,Routine,OK,398,3.0
297,109.2233771272218,-0.4608691496017906,4.17,0.4717579185962677,0.8818,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.156,S,2.14,Tegak,1.012,15271,Healthy,Good,None,OK,398,3.0
439,109.22352988839766,-0.4613197046628155,4.16,0.3478027880191803,0.5534,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.519,N,7.11,Miring Ringan,1.096,14708,Suspect,Critical,Priority Survey,OK,398,3.0
478,109.22397687514572,-0.4614482977363447,4.15,0.5241145491600037,1.0,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.059,E,0.81,Tegak,1.235,10609,Healthy,Good,None,OK,398,3.0
207,109.22260663606194,-0.4605164686142705,4.15,0.4490498602390289,0.8213,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.562,S,7.71,Miring Ringan,1.112,15194,Normal,Moderate,Routine,OK,398,3.0
219,109.22296539699228,-0.4605720389648594,4.15,0.4115535914897918,0.7216,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.305,NE,4.21,Tegak,1.073,15022,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
422,109.22319639589824,-0.4612766548808424,4.13,0.4324164688587188,0.777,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.136,W,1.89,Tegak,1.155,12514,Normal,Moderate,Routine,OK,398,3.0
342,109.22259822804942,-0.4610095317456629,4.13,0.4618377983570099,0.8553,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.309,S,4.28,Tegak,1.02,15986,Healthy,Good,None,OK,398,3.0
490,109.22265610798271,-0.4614955200883059,4.12,0.3777610957622528,0.6323,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.158,E,2.2,Tegak,1.103,13912,Suspect,Critical,Priority Survey,OK,398,3.0
187,109.22290163619006,-0.4604114221527385,4.11,0.0231844168156385,0.0,TM,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C18B,0.024,E,0.34,Tegak,1.002,16107,Suspect,Critical,Priority Survey,OK,398,3.0
502,109.2234511181929,-0.461542023181507,4.1,0.4533087015151977,0.8326,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.121,SE,1.68,Tegak,1.146,13988,Normal,Moderate,Routine,OK,398,3.0
188,109.22253871802006,-0.4604138339245635,4.07,0.2543406784534454,0.3093,TM,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C18B,0.345,E,4.84,Tegak,1.0,16129,Suspect,Critical,Priority Survey,OK,398,3.0
