Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Ring_ID,Distance_to_Center_m,Ring_Radius_m
883,109.24425461,-0.42345726,4.95,0.3916420638561249,Abnormal,Abnormal,Monitor,E002A,0.3916420638561249,Abnormal,Sub-Optimal,Monitor,E02,RING-025,2.893,5.0
718,109.24417736,-0.42344232,5.69,0.3352341949939728,Suspect,Suspect,Priority Survey,E002A,0.3352341949939728,Suspect,Critical,Priority Survey,E02,RING-025,11.426,5.0
741,109.24418771,-0.42336771,5.54,0.3872911036014557,Suspect,Suspect,Priority Survey,E002A,0.3872911036014557,Suspect,Critical,Priority Survey,E02,RING-025,13.726,5.0
748,109.24409833,-0.42336001,5.51,0.4287658929824829,Abnormal,Abnormal,Monitor,E002A,0.4287658929824829,Abnormal,Sub-Optimal,Monitor,E02,RING-025,22.526,5.0
1039,109.24401927,-0.42341741,4.31,0.3731676042079925,Suspect,Suspect,Priority Survey,E002A,0.3731676042079925,Suspect,Critical,Priority Survey,E02,RING-025,29.218,5.0
1210,109.24405339,-0.42348434,3.4,0.3432916104793548,Suspect,Suspect,Priority Survey,E002A,0.3432916104793548,Suspect,Critical,Priority Survey,E02,RING-025,25.469,5.0
1273,109.24423438,-0.42354813,2.84,0.3767182826995849,Suspect,Suspect,Priority Survey,E002A,0.3767182826995849,Suspect,Critical,Priority Survey,E02,RING-025,11.922,5.0
716,109.24432869,-0.42356262,5.7,0.3942694067955017,Abnormal,Abnormal,Monitor,E002A,0.3942694067955017,Abnormal,Sub-Optimal,Monitor,E02,RING-025,13.55,5.0
470,109.2439283,-0.42449803,7.07,0.421169251203537,Abnormal,Abnormal,Monitor,E002A,0.421169251203537,Abnormal,Sub-Optimal,Monitor,E02,RING-026,15.367,5.0
1084,109.24393012,-0.42439901,4.14,0.4013463854789734,Abnormal,Abnormal,Monitor,E002A,0.4013463854789734,Abnormal,Sub-Optimal,Monitor,E02,RING-026,6.033,5.0
1288,109.24387804,-0.42432168,2.63,0.4204949140548706,Abnormal,Abnormal,Monitor,E002A,0.4204949140548706,Abnormal,Sub-Optimal,Monitor,E02,RING-026,4.927,5.0
1291,109.24381383,-0.42424209,2.59,0.3905451595783233,Abnormal,Abnormal,Monitor,E002A,0.3905451595783233,Abnormal,Sub-Optimal,Monitor,E02,RING-026,15.893,5.0
494,109.24448016,-0.42508686,6.91,0.3995753526687622,Abnormal,Abnormal,Monitor,E002A,0.3995753526687622,Abnormal,Sub-Optimal,Monitor,E02,RING-027,6.186,5.0
577,109.24453227,-0.42501317,6.35,0.3540018200874328,Suspect,Suspect,Priority Survey,E002A,0.3540018200874328,Suspect,Critical,Priority Survey,E02,RING-027,5.813,5.0
535,109.24451972,-0.42490963,6.63,0.3922628760337829,Abnormal,Abnormal,Monitor,E002A,0.3922628760337829,Abnormal,Sub-Optimal,Monitor,E02,RING-027,14.018,5.0
669,109.24444515,-0.42496432,5.96,0.4282183349132538,Abnormal,Abnormal,Monitor,E002A,0.4282183349132538,Abnormal,Sub-Optimal,Monitor,E02,RING-027,8.495,5.0
1066,109.24443837,-0.4251809,4.2,0.3960444629192352,Abnormal,Abnormal,Monitor,E002A,0.3960444629192352,Abnormal,Sub-Optimal,Monitor,E02,RING-027,17.306,5.0
503,109.24482063,-0.42496531,6.86,0.3927165567874908,Abnormal,Abnormal,Monitor,E002A,0.3927165567874908,Abnormal,Sub-Optimal,Monitor,E02,RING-028,3.245,5.0
948,109.2448772,-0.42505259,4.64,0.4047809243202209,Abnormal,Abnormal,Monitor,E002A,0.4047809243202209,Abnormal,Sub-Optimal,Monitor,E02,RING-028,10.011,5.0
612,109.2447317,-0.42495986,6.22,0.4180511236190796,Abnormal,Abnormal,Monitor,E002A,0.4180511236190796,Abnormal,Sub-Optimal,Monitor,E02,RING-028,9.421,5.0
526,109.24390924,-0.42732533,6.69,0.3976061940193176,Abnormal,Abnormal,Monitor,E002A,0.3976061940193176,Abnormal,Sub-Optimal,Monitor,E02,RING-029,8.086,5.0
679,109.24380459,-0.42734294,5.9,0.4197134375572204,Abnormal,Abnormal,Monitor,E002A,0.4197134375572204,Abnormal,Sub-Optimal,Monitor,E02,RING-029,4.994,5.0
1281,109.24382344,-0.42741439,2.69,0.4141263365745544,Abnormal,Abnormal,Monitor,E002A,0.4141263365745544,Abnormal,Sub-Optimal,Monitor,E02,RING-029,6.415,5.0
542,109.24422363,-0.42737514,6.58,0.4068784713745117,Abnormal,Abnormal,Monitor,E002A,0.4068784713745117,Abnormal,Sub-Optimal,Monitor,E02,RING-030,13.384,5.0
989,109.24415133,-0.42730685,4.49,0.3344219326972961,Suspect,Suspect,Priority Survey,E002A,0.3344219326972961,Suspect,Critical,Priority Survey,E02,RING-030,5.865,5.0
1308,109.24417246,-0.42722637,2.24,0.419177383184433,Abnormal,Abnormal,Monitor,E002A,0.419177383184433,Abnormal,Sub-Optimal,Monitor,E02,RING-030,4.061,5.0
1061,109.24417248,-0.42714092,4.22,0.4255732893943786,Abnormal,Abnormal,Monitor,E002A,0.4255732893943786,Abnormal,Sub-Optimal,Monitor,E02,RING-030,13.445,5.0
546,109.24409532,-0.4247671,6.56,0.4109192490577698,Abnormal,Abnormal,Monitor,E002A,0.4109192490577698,Abnormal,Sub-Optimal,Monitor,E02,RING-031,10.631,5.0
733,109.24417213,-0.42471105,5.59,0.3678942620754242,Suspect,Suspect,Priority Survey,E002A,0.3678942620754242,Suspect,Critical,Priority Survey,E02,RING-031,1.461,5.0
963,109.2442714,-0.42468756,4.56,0.3696162700653076,Suspect,Suspect,Priority Survey,E002A,0.3696162700653076,Suspect,Critical,Priority Survey,E02,RING-031,10.9,5.0
562,109.24486482,-0.42419395,6.43,0.4068613648414612,Abnormal,Abnormal,Monitor,E002A,0.4068613648414612,Abnormal,Sub-Optimal,Monitor,E02,RING-032,3.879,5.0
597,109.24490481,-0.42412342,6.28,0.3891065418720245,Suspect,Suspect,Priority Survey,E002A,0.3891065418720245,Suspect,Critical,Priority Survey,E02,RING-032,12.724,5.0
828,109.24480641,-0.42426899,5.16,0.3784458935260772,Suspect,Suspect,Priority Survey,E002A,0.3784458935260772,Suspect,Critical,Priority Survey,E02,RING-032,7.271,5.0
656,109.24485491,-0.42432688,6.01,0.3804918825626373,Suspect,Suspect,Priority Survey,E002A,0.3804918825626373,Suspect,Critical,Priority Survey,E02,RING-032,10.9,5.0
580,109.24471993,-0.42538398,6.34,0.3441073000431061,Suspect,Suspect,Priority Survey,E002A,0.3441073000431061,Suspect,Critical,Priority Survey,E02,RING-033,8.134,5.0
945,109.24479357,-0.42546222,4.67,0.4283214509487152,Abnormal,Abnormal,Monitor,E002A,0.4283214509487152,Abnormal,Sub-Optimal,Monitor,E02,RING-033,5.779,5.0
909,109.24485108,-0.42538446,4.85,0.3652836084365845,Suspect,Suspect,Priority Survey,E002A,0.3652836084365845,Suspect,Critical,Priority Survey,E02,RING-033,7.557,5.0
585,109.24508629,-0.42599854,6.31,0.3959405422210693,Abnormal,Abnormal,Monitor,E002A,0.3959405422210693,Abnormal,Sub-Optimal,Monitor,E02,RING-034,8.784,5.0
788,109.24511999,-0.42592801,5.32,0.4219356477260589,Abnormal,Abnormal,Monitor,E002A,0.4219356477260589,Abnormal,Sub-Optimal,Monitor,E02,RING-034,2.673,5.0
815,109.24508587,-0.42583305,5.2,0.4096044301986694,Abnormal,Abnormal,Monitor,E002A,0.4096044301986694,Abnormal,Sub-Optimal,Monitor,E02,RING-034,9.682,5.0
619,109.24340368,-0.42662031,6.18,0.4275765120983124,Abnormal,Abnormal,Monitor,E002A,0.4275765120983124,Abnormal,Sub-Optimal,Monitor,E02,RING-035,4.384,5.0
1097,109.24344367,-0.42655114,4.06,0.3915415704250335,Abnormal,Abnormal,Monitor,E002A,0.3915415704250335,Abnormal,Sub-Optimal,Monitor,E02,RING-035,7.572,5.0
1030,109.24330712,-0.42658502,4.34,0.4243776202201843,Abnormal,Abnormal,Monitor,E002A,0.4243776202201843,Abnormal,Sub-Optimal,Monitor,E02,RING-035,8.65,5.0
654,109.24449897,-0.42532967,6.01,0.3513363599777221,Suspect,Suspect,Priority Survey,E002A,0.3513363599777221,Suspect,Critical,Priority Survey,E02,RING-036,9.201,5.0
782,109.24460047,-0.42534055,5.34,0.380398154258728,Suspect,Suspect,Priority Survey,E002A,0.380398154258728,Suspect,Critical,Priority Survey,E02,RING-036,4.836,5.0
816,109.24463283,-0.42524018,5.2,0.3852025866508484,Suspect,Suspect,Priority Survey,E002A,0.3852025866508484,Suspect,Critical,Priority Survey,E02,RING-036,9.326,5.0
663,109.24313967,-0.42426997,5.99,0.4090028405189514,Abnormal,Abnormal,Monitor,E002A,0.4090028405189514,Abnormal,Sub-Optimal,Monitor,E02,RING-037,7.248,5.0
960,109.24319804,-0.42433509,4.57,0.4175489842891693,Abnormal,Abnormal,Monitor,E002A,0.4175489842891693,Abnormal,Sub-Optimal,Monitor,E02,RING-037,4.2,5.0
780,109.24325913,-0.42428627,5.36,0.4191629588603973,Abnormal,Abnormal,Monitor,E002A,0.4191629588603973,Abnormal,Sub-Optimal,Monitor,E02,RING-037,6.806,5.0
673,109.24329858,-0.42464891,5.93,0.4195796549320221,Abnormal,Abnormal,Monitor,E002A,0.4195796549320221,Abnormal,Sub-Optimal,Monitor,E02,RING-038,9.392,5.0
1195,109.24325368,-0.42457113,3.5,0.3503237664699554,Suspect,Suspect,Priority Survey,E002A,0.3503237664699554,Suspect,Critical,Priority Survey,E02,RING-038,2.282,5.0
1052,109.24326942,-0.42448296,4.25,0.4037634134292602,Abnormal,Abnormal,Monitor,E002A,0.4037634134292602,Abnormal,Sub-Optimal,Monitor,E02,RING-038,9.377,5.0
690,109.24340634,-0.42476514,5.84,0.3136187493801117,Suspect,Suspect,Priority Survey,E002A,0.3136187493801117,Suspect,Critical,Priority Survey,E02,RING-039,1.185,5.0
1020,109.24339962,-0.42469098,4.37,0.4122039973735809,Abnormal,Abnormal,Monitor,E002A,0.4122039973735809,Abnormal,Sub-Optimal,Monitor,E02,RING-039,8.275,5.0
693,109.24338117,-0.42484109,5.83,0.4274965524673462,Abnormal,Abnormal,Monitor,E002A,0.4274965524673462,Abnormal,Sub-Optimal,Monitor,E02,RING-039,8.485,5.0
775,109.24362402,-0.42346932,5.37,0.4106423556804657,Abnormal,Abnormal,Monitor,E002A,0.4106423556804657,Abnormal,Sub-Optimal,Monitor,E02,RING-040,10.094,5.0
1095,109.24370396,-0.42349647,4.08,0.4281097948551178,Abnormal,Abnormal,Monitor,E002A,0.4281097948551178,Abnormal,Sub-Optimal,Monitor,E02,RING-040,0.733,5.0
1006,109.24380366,-0.42352407,4.44,0.3745305836200714,Suspect,Suspect,Priority Survey,E002A,0.3745305836200714,Suspect,Critical,Priority Survey,E02,RING-040,10.8,5.0
832,109.24402808,-0.42419964,5.15,0.4293842315673828,Abnormal,Abnormal,Monitor,E002A,0.4293842315673828,Abnormal,Sub-Optimal,Monitor,E02,RING-041,4.032,5.0
1023,109.24406402,-0.4241368,4.36,0.3366135656833648,Suspect,Suspect,Priority Survey,E002A,0.3366135656833648,Suspect,Critical,Priority Survey,E02,RING-041,3.985,5.0
1157,109.24397106,-0.42409382,3.74,0.4157692790031433,Abnormal,Abnormal,Monitor,E002A,0.4157692790031433,Abnormal,Sub-Optimal,Monitor,E02,RING-041,11.727,5.0
866,109.24412194,-0.42424216,5.02,0.3538877665996551,Suspect,Suspect,Priority Survey,E002A,0.3538877665996551,Suspect,Critical,Priority Survey,E02,RING-041,11.745,5.0
956,109.24463454,-0.4256019,4.6,0.3478944897651672,Suspect,Suspect,Priority Survey,E002A,0.3478944897651672,Suspect,Critical,Priority Survey,E02,RING-042,8.191,5.0
1219,109.24471853,-0.42559513,3.34,0.3349290788173675,Suspect,Suspect,Priority Survey,E002A,0.3349290788173675,Suspect,Critical,Priority Survey,E02,RING-042,3.257,5.0
1043,109.24476343,-0.42566749,4.3,0.4044835865497589,Abnormal,Abnormal,Monitor,E002A,0.4044835865497589,Abnormal,Sub-Optimal,Monitor,E02,RING-042,8.211,5.0
1001,109.24433512,-0.42494937,4.45,0.4136842787265777,Abnormal,Abnormal,Monitor,E002A,0.4136842787265777,Abnormal,Sub-Optimal,Monitor,E02,RING-043,0.68,5.0
1171,109.24432525,-0.4248716,3.65,0.3880453407764435,Suspect,Suspect,Priority Survey,E002A,0.3880453407764435,Suspect,Critical,Priority Survey,E02,RING-043,9.29,5.0
1094,109.24433959,-0.42504478,4.08,0.3970061242580414,Abnormal,Abnormal,Monitor,E002A,0.3970061242580414,Abnormal,Sub-Optimal,Monitor,E02,RING-043,9.921,5.0
1112,109.24378149,-0.42620487,4.0,0.4236678779125213,Abnormal,Abnormal,Monitor,E002A,0.4236678779125213,Abnormal,Sub-Optimal,Monitor,E02,RING-044,8.505,5.0
1119,109.24368583,-0.4261949,3.96,0.3937259912490845,Abnormal,Abnormal,Monitor,E002A,0.3937259912490845,Abnormal,Sub-Optimal,Monitor,E02,RING-044,4.455,5.0
1182,109.24367732,-0.42610176,3.59,0.4071352481842041,Abnormal,Abnormal,Monitor,E002A,0.4071352481842041,Abnormal,Sub-Optimal,Monitor,E02,RING-044,8.353,5.0
1142,109.24372071,-0.42489317,3.85,0.3992565274238586,Abnormal,Abnormal,Monitor,E002A,0.3992565274238586,Abnormal,Sub-Optimal,Monitor,E02,RING-045,11.248,5.0
1180,109.24372877,-0.42499942,3.62,0.3793940246105194,Suspect,Suspect,Priority Survey,E002A,0.3793940246105194,Suspect,Critical,Priority Survey,E02,RING-045,0.533,5.0
1263,109.24373683,-0.42509121,2.99,0.4022881984710693,Abnormal,Abnormal,Monitor,E002A,0.4022881984710693,Abnormal,Sub-Optimal,Monitor,E02,RING-045,10.717,5.0
