Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name
2362,109.24312659686652,-0.42448254848459577,0.0,0.42142969031103655,Normal,Normal,Routine,E002A
2363,109.24319821539763,-0.42447439991837843,0.0,0.43582443547913896,Normal,Normal,Routine,E002A
2364,109.24329058011499,-0.42447976005058236,0.0,0.43416350058504655,Normal,Normal,Routine,E002A
2365,109.2433647708766,-0.4244695484512043,0.0,0.42025042968941767,Normal,Normal,Routine,E002A
2366,109.24346070450412,-0.42447464895867165,0.0,0.45332625834872436,Normal,Normal,Routine,E002A
2367,109.24352733700323,-0.42446527934255995,0.0,0.4572938108916188,Normal,Normal,Routine,E002A
2368,109.24359590210139,-0.4244660392648814,0.0,0.43326328423117044,Normal,Normal,Routine,E002A
2369,109.24370772734446,-0.42447010526422396,0.0,0.4402463750960124,Normal,Normal,Routine,E002A
2370,109.24375835383447,-0.4244552826541517,0.0,0.40364212975134117,Normal,Normal,Routine,E002A
2371,109.24393453763057,-0.42446386227487964,0.0,0.4060606559296467,Normal,Normal,Routine,E002A
2372,109.24400575127322,-0.4244548129183008,0.0,0.4084155240337709,Normal,Normal,Routine,E002A
2373,109.2440891680471,-0.42445341585127083,0.0,0.4274913719316121,Normal,Normal,Routine,E002A
2374,109.24426156763711,-0.42443724653200865,0.0,0.4331216491660436,Normal,Normal,Routine,E002A
2375,109.24436855274811,-0.4244305556308373,0.0,0.3279381349588921,Abnormal,Abnormal,Monitor,E002A
2376,109.24445423795096,-0.4244319461400683,0.0,0.3742527608716949,Abnormal,Abnormal,Monitor,E002A
2377,109.2445171251391,-0.4244324841054769,0.0,0.3938314998128412,Abnormal,Abnormal,Monitor,E002A
2378,109.2446063463501,-0.4244281529890041,0.0,0.37381023384056183,Abnormal,Abnormal,Monitor,E002A
2379,109.2446867927574,-0.42443781305834277,0.0,0.4189786540338206,Normal,Normal,Routine,E002A
2380,109.24478537165798,-0.4244438672917422,0.0,0.3711853676435823,Abnormal,Abnormal,Monitor,E002A
2381,109.24485704891934,-0.42443845785029116,0.0,0.43311141916111306,Normal,Normal,Routine,E002A
2382,109.24494984453044,-0.4244374535749341,0.0,0.4056847426715914,Normal,Normal,Routine,E002A
2383,109.24503414844412,-0.42443782099534005,0.0,0.4002022034647802,Normal,Normal,Routine,E002A
2384,109.24513070227316,-0.4244455540547467,0.0,0.4310567342740847,Normal,Normal,Routine,E002A
2385,109.24521204502597,-0.4244598922902739,0.0,0.3956366025070212,Abnormal,Abnormal,Monitor,E002A
2386,109.24315378556972,-0.42441203717455245,0.0,0.46002684326859206,Normal,Normal,Routine,E002A
2387,109.24324974794406,-0.4244170770993954,0.0,0.4385498418361083,Normal,Normal,Routine,E002A
2388,109.24331487465481,-0.42440493635580206,0.0,0.44127527520875937,Normal,Normal,Routine,E002A
2389,109.24340899164238,-0.4244035218469254,0.0,0.4370655109493932,Normal,Normal,Routine,E002A
2390,109.24347548093004,-0.4243998312185962,0.0,0.4411670930869151,Normal,Normal,Routine,E002A
2391,109.24356846833682,-0.42440044751354694,0.0,0.435275400708131,Normal,Normal,Routine,E002A
2392,109.24364856327682,-0.4243990306992422,0.0,0.41091298232344736,Normal,Normal,Routine,E002A
2393,109.24372271543464,-0.4244007224233779,0.0,0.43306742525787834,Normal,Normal,Routine,E002A
2394,109.24382622641171,-0.4244001230252265,0.0,0.42712700489400207,Normal,Normal,Routine,E002A
2395,109.2438920686146,-0.424393966209738,0.0,0.43275548622830784,Normal,Normal,Routine,E002A
2396,109.24397050018038,-0.4243915913542206,0.0,0.43389667824237277,Normal,Normal,Routine,E002A
2397,109.24404710698947,-0.424386850423377,0.0,0.4138491254667602,Normal,Normal,Routine,E002A
2398,109.24413886046803,-0.424390241735551,0.0,0.4227190262888773,Normal,Normal,Routine,E002A
2399,109.24431235804836,-0.4243926741793676,0.0,0.4402207937304399,Normal,Normal,Routine,E002A
2400,109.24439863076702,-0.42439783847970725,0.0,0.42049808426125274,Normal,Normal,Routine,E002A
2401,109.24446769942318,-0.4243884477014407,0.0,0.43573695530470175,Normal,Normal,Routine,E002A
2402,109.24456262686822,-0.42437837556064,0.0,0.41099528671205937,Normal,Normal,Routine,E002A
2403,109.24465959475347,-0.42438222654060687,0.0,0.4503778298093092,Normal,Normal,Routine,E002A
2404,109.24491181311807,-0.42437482095409734,0.0,0.39547196814605784,Abnormal,Abnormal,Monitor,E002A
2405,109.24499803503873,-0.42438230387153053,0.0,0.38047327373136564,Abnormal,Abnormal,Monitor,E002A
2406,109.24507982966796,-0.42438047958776187,0.0,0.44356808904837763,Normal,Normal,Routine,E002A
2407,109.24515965017555,-0.4243813840406786,0.0,0.42811567870935857,Normal,Normal,Routine,E002A
2408,109.24304851261995,-0.42435114538352425,0.0,0.43252879992096066,Normal,Normal,Routine,E002A
2409,109.24311030829838,-0.4243439811611822,0.0,0.4636315949612357,Normal,Normal,Routine,E002A
2410,109.24321168908365,-0.4243449294475964,0.0,0.4265911166016404,Normal,Normal,Routine,E002A
2411,109.24329349953102,-0.42434032988119597,0.0,0.4306988123749498,Normal,Normal,Routine,E002A
2412,109.24337335706392,-0.42433604094717053,0.0,0.41568926489106395,Normal,Normal,Routine,E002A
