Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
284,109.23352862,-0.4411206,11.3,0.450173020362854,Normal,Normal,Routine,D009A,0.450173020362854,Normal,Moderate,Routine,D09
285,109.23353217,-0.44695785,11.29,0.4307570159435272,Normal,Normal,Routine,D009A,0.4307570159435272,Normal,Moderate,Routine,D09
286,109.23243666,-0.44537325,11.28,0.5334233045578003,Healthy,Healthy,,D009A,0.5334233045578003,Healthy,Good,,D09
287,109.23225191,-0.44035436,11.28,0.4552939832210541,Normal,Normal,Routine,D009A,0.4552939832210541,Normal,Moderate,Routine,D09
288,109.23265582,-0.44545017,11.27,0.4896460771560669,Healthy,Healthy,,D009A,0.4896460771560669,Healthy,Good,,D09
289,109.23340912,-0.44501719,11.26,0.563752293586731,Healthy,Healthy,,D009A,0.563752293586731,Healthy,Good,,D09
290,109.23225391,-0.44326122,11.26,0.5028764009475708,Healthy,Healthy,,D009A,0.5028764009475708,Healthy,Good,,D09
291,109.23225658,-0.445276,11.25,0.4356433749198913,Normal,Normal,Routine,D009A,0.4356433749198913,Normal,Moderate,Routine,D09
292,109.23151112,-0.44295946,11.24,0.4597132503986358,Normal,Normal,Routine,D009A,0.4597132503986358,Normal,Moderate,Routine,D09
293,109.23351706,-0.44816689,11.22,0.4992910623550415,Healthy,Healthy,,D009A,0.4992910623550415,Healthy,Good,,D09
294,109.23161684,-0.44785354,11.21,0.5076473951339722,Healthy,Healthy,,D009A,0.5076473951339722,Healthy,Good,,D09
295,109.23184282,-0.44757733,11.19,0.4508194923400879,Normal,Normal,Routine,D009A,0.4508194923400879,Normal,Moderate,Routine,D09
296,109.23350222,-0.44067478,11.17,0.449747622013092,Normal,Normal,Routine,D009A,0.449747622013092,Normal,Moderate,Routine,D09
297,109.23349947,-0.44090447,11.17,0.4942934513092041,Healthy,Healthy,,D009A,0.4942934513092041,Healthy,Good,,D09
298,109.2314152,-0.44778793,11.17,0.4956075549125671,Healthy,Healthy,,D009A,0.4956075549125671,Healthy,Good,,D09
299,109.23212316,-0.44348907,11.15,0.4616762399673462,Healthy,Healthy,,D009A,0.4616762399673462,Healthy,Good,,D09
300,109.2335231,-0.44356085,11.14,0.4815658628940582,Healthy,Healthy,,D009A,0.4815658628940582,Healthy,Good,,D09
301,109.23273367,-0.44294257,11.13,0.4441027343273163,Normal,Normal,Routine,D009A,0.4441027343273163,Normal,Moderate,Routine,D09
