DIVISI,BLOK_B,Blok,T_TANAM,N_BARIS,N_POKOK,OBJECTID,NDRE125,KlassNDRE12025,NDRE2_26,KLASSNDRE2_26,Ket,Longitude_SR,Latitude_SR,Drone_TreeID,Drone_Lon,Drone_Lat,Drone_Height_m,NDRE_Drone_Rel,NDRE_Drone_Abs,HS_Drone_Rel,HS_Drone_Abs
AME II,D009A,D09,2009,4,10,29035,0.4355042279093233,Stres Sedang,0.4420172041210703,Stres Sedang,Pokok Utama,109.23225015742482,-0.4488014507228432,178,109.23222834,-0.44880953,13.44,0.429,0.429,Healthy,Sub-Optimal
AME II,D009A,D09,2009,4,12,29028,0.394053916132339,Stres Berat,0.4519594325040785,Stres Sedang,Pokok Utama,109.23244150268609,-0.4488167220406453,1140,109.23245919,-0.44881999,8.91,0.526,0.526,Healthy,Good
AME II,D009A,D09,2009,4,13,29034,0.3558904623432308,Stres Berat,0.4324725058219829,Stres Sedang,Pokok Utama,109.23250874389221,-0.4488346823792447,3078,109.23251397,-0.44886974,2.7,0.433,0.433,Abnormal,Moderate
AME II,D009A,D09,2009,4,14,29038,0.36892368654671037,Stres Berat,0.40861533609203743,Stres Sedang,Pokok Utama,109.23259123671104,-0.4488345469145347,2883,109.23257281,-0.44886026,4.08,0.546,0.546,Healthy,Good
AME II,D009A,D09,2009,4,15,29040,0.41159767334360675,Stres Sedang,0.4501392152960315,Stres Sedang,Pokok Utama,109.23274728477863,-0.4488483094110805,2165,109.23276594,-0.44884267,6.47,0.466,0.466,Healthy,Good
AME II,D009A,D09,2009,4,18,29586,0.39205353081536365,Stres Berat,0.43464041351723187,Stres Sedang,Pokok Utama,109.23301742118035,-0.448852105366181,1627,109.23302868,-0.44887936,7.74,0.529,0.529,Healthy,Good
AME II,D009A,D09,2009,4,20,29037,0.4010846140624335,Stres Sedang,0.46358750283645017,Stres Sedang,Pokok Utama,109.23315722493487,-0.4488246966518854,1769,109.23313738,-0.44885452,7.4,0.447,0.447,Healthy,Moderate
AME II,D009A,D09,2009,4,21,29041,0.4014232561359667,Stres Sedang,0.46709491276404713,Stres Sedang,Pokok Utama,109.23325083970943,-0.44882655334001814,1359,109.23327976,-0.448822,8.33,0.515,0.515,Healthy,Good
AME II,D009A,D09,2009,4,24,29581,0.4590896151126607,Stres Sedang,0.46260933348063815,Stres Sedang,Pokok Utama,109.23352511099127,-0.4488263568998274,2091,109.2335452,-0.44883924,6.67,0.447,0.447,Healthy,Moderate
AME II,D009A,D09,2009,5,1,29585,0.3886973078515867,Stres Berat,0.45511037591227727,Stres Sedang,Pokok Utama,109.23138676167156,-0.4487293625016633,2436,109.23139656,-0.44872433,5.74,0.177,0.177,Suspect,Critical
AME II,D009A,D09,2009,5,3,29008,0.4358859546676111,Stres Sedang,0.4546698498499035,Stres Sedang,Pokok Utama,109.23152807913046,-0.4487233977976973,1188,109.23152457,-0.44870175,8.76,0.433,0.433,Healthy,Moderate
AME II,D009A,D09,2009,5,4,29012,0.44099913701619187,Stres Sedang,0.45440455653752937,Stres Sedang,Pokok Utama,109.231623549935,-0.4487315443380407,839,109.23164493,-0.44872032,9.81,0.444,0.444,Healthy,Moderate
AME II,D009A,D09,2009,5,5,29617,0.425480403026467,Stres Sedang,0.4779425875276345,Stres Sedang,Pokok Utama,109.23169303103421,-0.4487547591846149,572,109.23168893,-0.44878996,10.79,0.397,0.397,Healthy,Sub-Optimal
AME II,D009A,D09,2009,5,7,29011,0.40939548972658946,Stres Sedang,0.4593094675774596,Stres Sedang,Pokok Utama,109.2320488296678,-0.4487339158247183,358,109.23201771,-0.44872312,12.01,0.443,0.443,Healthy,Moderate
AME II,D009A,D09,2009,5,9,29018,0.4670969294514003,Stres Sedang,0.457067175486487,Stres Sedang,Pokok Utama,109.23221698867742,-0.4487605892081986,231,109.23220051,-0.44873266,12.94,0.473,0.473,Healthy,Good
AME II,D009A,D09,2009,5,12,29017,0.3982843661007898,Stres Berat,0.4464376644511719,Stres Sedang,Pokok Utama,109.23249344055323,-0.44875022450255264,542,109.23247178,-0.44875307,10.96,0.415,0.415,Healthy,Sub-Optimal
AME II,D009A,D09,2009,5,13,29021,0.4134498046930522,Stres Sedang,0.46766222659046935,Stres Sedang,Pokok Utama,109.23256370871975,-0.44875786573172494,1993,109.23257507,-0.44878791,6.88,0.412,0.412,Healthy,Sub-Optimal
AME II,D009A,D09,2009,5,14,29016,0.4187494779911177,Stres Sedang,0.4532009300774113,Stres Sedang,Pokok Utama,109.23262285507526,-0.44874809290948536,1996,109.23263213,-0.44872327,6.88,0.393,0.393,Healthy,Sub-Optimal
AME II,D009A,D09,2009,5,16,29024,0.4294849954082006,Stres Sedang,0.4303975135673762,Stres Sedang,Pokok Utama,109.23278747790184,-0.4487736884104511,1941,109.23281761,-0.44876446,7.0,0.412,0.412,Healthy,Sub-Optimal
AME II,D009A,D09,2009,5,20,29020,0.42523943980371615,Stres Sedang,0.4860646016061836,Stres Sedang,Pokok Utama,109.23330131358665,-0.44876680147352105,1645,109.23331706,-0.44875237,7.7,0.439,0.439,Healthy,Moderate
AME II,D009A,D09,2009,5,21,29580,0.45813682940724776,Stres Sedang,0.4765794518330664,Stres Sedang,Pokok Utama,109.23340010344583,-0.4487980536203867,1334,109.23341002,-0.44877862,8.39,0.436,0.436,Healthy,Moderate
AME II,D009A,D09,2009,5,22,29578,0.42296313729865087,Stres Sedang,0.42491268800088483,Stres Sedang,Pokok Utama,109.23357171879965,-0.44876248771777827,2188,109.23356228,-0.44878951,6.43,0.501,0.501,Healthy,Good
AME II,D009A,D09,2009,6,2,28988,0.43554172479023817,Stres Sedang,0.460653452264385,Stres Sedang,Pokok Utama,109.23148434881888,-0.4486401737414978,302,109.23145587,-0.44862577,12.42,0.378,0.378,Suspect,Critical
AME II,D009A,D09,2009,6,4,28991,0.40997290555051663,Stres Sedang,0.4505360998343602,Stres Sedang,Pokok Utama,109.23165054440258,-0.4486508460107507,525,109.23162249,-0.4486448,11.07,0.488,0.488,Healthy,Good
AME II,D009A,D09,2009,6,6,29575,0.36180022219310753,Stres Berat,0.42044869002244867,Stres Sedang,Pokok Utama,109.23188338662516,-0.4486566277799823,369,109.23187446,-0.44864803,11.94,0.398,0.398,Healthy,Sub-Optimal
AME II,D009A,D09,2009,6,8,28992,0.40373002977694494,Stres Sedang,0.48354032455068646,Stres Sedang,Pokok Utama,109.23204772368216,-0.44865624184444214,173,109.2320604,-0.44864084,13.49,0.56,0.56,Healthy,Good
AME II,D009A,D09,2009,6,10,28995,0.4353554974353477,Stres Sedang,0.4579331461722416,Stres Sedang,Pokok Utama,109.23219341717493,-0.44865191677135924,2121,109.23218167,-0.44861871,6.6,0.426,0.426,Healthy,Sub-Optimal
AME II,D009A,D09,2009,6,11,28996,0.4100738909799759,Stres Sedang,0.4500959874022226,Stres Sedang,Pokok Utama,109.23224665256629,-0.44867717137610424,2075,109.23227374,-0.44865581,6.71,0.393,0.393,Healthy,Sub-Optimal
AME II,D009A,D09,2009,6,12,28997,0.3800465790356294,Stres Berat,0.447851571576868,Stres Sedang,Pokok Utama,109.2324203248364,-0.4486828483068036,345,109.23240353,-0.44868659,12.12,0.444,0.444,Healthy,Moderate
AME II,D009A,D09,2009,6,13,29000,0.40430720370230183,Stres Sedang,0.45848289632782624,Stres Sedang,Pokok Utama,109.23251776113221,-0.4486871448165798,1231,109.23253917,-0.44868436,8.67,0.561,0.561,Healthy,Good
AME II,D009A,D09,2009,6,14,28998,0.38241207385718384,Stres Berat,0.42348408783872377,Stres Sedang,Pokok Utama,109.23266892623045,-0.4486782670236826,2185,109.23266359,-0.44864551,6.44,0.445,0.445,Healthy,Moderate
AME II,D009A,D09,2009,6,16,28986,0.43270836447376804,Stres Sedang,0.42973256304951535,Stres Sedang,Pokok Utama,109.23282651711017,-0.44868630838983814,2496,109.23284818,-0.44867946,5.53,0.508,0.508,Healthy,Good
AME II,D009A,D09,2009,6,18,29001,0.37040993753361373,Stres Berat,0.43434880661986386,Stres Sedang,Pokok Utama,109.23332542895793,-0.4486792070954288,2208,109.23333998,-0.44867823,6.38,0.583,0.583,Healthy,Good
AME II,D009A,D09,2009,6,19,29576,0.3993369486112524,Stres Berat,0.44445068213479794,Stres Sedang,Pokok Utama,109.23343833170578,-0.4487061609239543,1843,109.23343565,-0.44867644,7.24,0.453,0.453,Healthy,Moderate
AME II,D009A,D09,2009,6,20,29577,0.462920038070399,Stres Sedang,0.4730530036253165,Stres Sedang,Pokok Utama,109.23351630020056,-0.4487013102372736,1335,109.23354523,-0.4486828,8.38,0.488,0.488,Healthy,Good
AME II,D009A,D09,2009,7,3,28970,0.4679020272703463,Stres Sedang,0.4673714410904212,Stres Sedang,Pokok Utama,109.23153082594767,-0.448577924202654,1175,109.2315219,-0.44856565,8.79,0.367,0.367,Suspect,Critical
AME II,D009A,D09,2009,7,4,28971,0.3526946945054125,Stres Berat,0.39993745806683506,Stres Berat,Pokok Utama,109.23163004841956,-0.44857655753878617,277,109.2316041,-0.44855527,12.63,0.493,0.493,Healthy,Good
AME II,D009A,D09,2009,7,5,28976,0.4342281068435504,Stres Sedang,0.4801603540431197,Stres Sedang,Pokok Utama,109.2317029613599,-0.44859044086839484,264,109.23170425,-0.44859102,12.7,0.45,0.45,Healthy,Moderate
AME II,D009A,D09,2009,7,7,28968,0.3735021987575345,Stres Berat,0.43530704193856135,Stres Sedang,Pokok Utama,109.23196338867328,-0.44856600230026433,395,109.23194364,-0.44857842,11.75,0.423,0.423,Healthy,Sub-Optimal
AME II,D009A,D09,2009,7,9,28974,0.41818012259635495,Stres Sedang,0.4492037611515556,Stres Sedang,Pokok Utama,109.23214111097393,-0.44858767542283723,1471,109.23215159,-0.4485952,8.1,0.481,0.481,Healthy,Good
AME II,D009A,D09,2009,7,17,28980,0.4140140026317884,Stres Sedang,0.46211912881666367,Stres Sedang,Pokok Utama,109.23330911571246,-0.44859943501054206,632,109.23329509,-0.44859276,10.48,0.479,0.479,Healthy,Good
AME II,D009A,D09,2009,7,18,29573,0.44275618440629355,Stres Sedang,0.457894304190922,Stres Sedang,Pokok Utama,109.23339201610857,-0.44860417559976246,2391,109.23338132,-0.44860363,5.85,0.447,0.447,Healthy,Moderate
AME II,D009A,D09,2009,7,19,29572,0.4725887688837725,Stres Sedang,0.46368308131026986,Stres Sedang,Pokok Utama,109.23349211708948,-0.4486032314312043,2495,109.23346037,-0.44859325,5.54,0.484,0.484,Healthy,Good
AME II,D009A,D09,2009,7,20,29571,0.4650817239121215,Stres Sedang,0.485166552314653,Stres Sedang,Pokok Utama,109.23354080353151,-0.44860285984400566,956,109.23354481,-0.44857112,9.46,0.458,0.458,Healthy,Moderate
AME II,D009A,D09,2009,8,1,28954,0.36288909055955104,Stres Berat,0.41852441578098487,Stres Sedang,Pokok Utama,109.23145699575859,-0.4484710120006416,818,109.23142671,-0.44847565,9.87,0.471,0.471,Healthy,Good
AME II,D009A,D09,2009,8,3,28960,0.43898644421879685,Stres Sedang,0.4967418471088439,Stres Sedang,Pokok Utama,109.23164032443185,-0.4485138316632711,411,109.23165441,-0.44850962,11.62,0.499,0.499,Healthy,Good
AME II,D009A,D09,2009,8,5,28950,0.4606860947670985,Stres Sedang,0.45446706132365633,Stres Sedang,Pokok Utama,109.2321691815706,-0.4484957287758741,132,109.23215206,-0.44848623,13.92,0.416,0.416,Healthy,Sub-Optimal
AME II,D009A,D09,2009,8,7,28957,0.37616260267238605,Stres Berat,0.4206833447718394,Stres Sedang,Pokok Utama,109.23234387347918,-0.44850094203450847,100,109.23231016,-0.44848943,14.27,0.455,0.455,Healthy,Moderate
AME II,D009A,D09,2009,8,8,28946,0.40286171619256383,Stres Sedang,0.4532055593203268,Stres Sedang,Pokok Utama,109.23250928578437,-0.44850812892340225,2423,109.23248487,-0.4484845,5.77,0.465,0.465,Healthy,Good
AME II,D009A,D09,2009,8,9,28962,0.4598555735679688,Stres Sedang,0.4629680381708452,Stres Sedang,Pokok Utama,109.2328422092059,-0.4485058469451787,2530,109.23281184,-0.44848684,5.4,0.393,0.393,Healthy,Sub-Optimal
AME II,D009A,D09,2009,8,11,29006,0.3286457563437285,Stres Berat,0.36669265303434145,Stres Berat,Pokok Utama,109.23315548998573,-0.44851932660870886,2676,109.23317789,-0.44849507,4.91,0.416,0.416,Healthy,Sub-Optimal
