Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name
624,109.23305723257465,-0.4470111302522927,0.0,0.4276362922273581,Normal,Normal,Routine,D009A
625,109.23324753892464,-0.4470212393859145,0.0,0.4536746895013779,Normal,Normal,Routine,D009A
626,109.23341468177782,-0.4470153874720772,0.0,0.4148981742606573,Normal,Normal,Routine,D009A
627,109.23352494982129,-0.4470238720822536,0.0,0.4450080214396055,Normal,Normal,Routine,D009A
628,109.231407559932,-0.4469133466253283,0.0,0.4692062644807154,Normal,Normal,Routine,D009A
629,109.231545993317,-0.4469060716603119,0.0,0.4766831844497588,Normal,Normal,Routine,D009A
630,109.23158805602628,-0.44691245443929145,0.0,0.4800194001241682,Normal,Normal,Routine,D009A
631,109.23170493600253,-0.4469102102758376,0.0,0.4856254501171796,Normal,Normal,Routine,D009A
632,109.23176238993092,-0.44690057716163356,0.0,0.4881826486736673,Normal,Normal,Routine,D009A
633,109.23187402991697,-0.4469262329102611,0.0,0.48536928408202235,Normal,Normal,Routine,D009A
634,109.23193289153659,-0.44693122533471974,0.0,0.48543371833991183,Normal,Normal,Routine,D009A
635,109.23209795102154,-0.446907248111031,0.0,0.49482345165484454,Normal,Normal,Routine,D009A
636,109.23213210598169,-0.44689977604138753,0.0,0.4425116051663059,Normal,Normal,Routine,D009A
637,109.23230575432528,-0.4469114012697506,0.0,0.43766863299687897,Normal,Normal,Routine,D009A
638,109.23244541574314,-0.44694157173180765,0.0,0.4440059970689054,Normal,Normal,Routine,D009A
639,109.23249323057155,-0.446923467526921,0.0,0.38067393349540746,Abnormal,Abnormal,Monitor,D009A
640,109.2325676773576,-0.4469015943314911,0.0,0.4142352083923258,Normal,Normal,Routine,D009A
641,109.23270177309396,-0.44692429846676485,0.0,0.42603728397445784,Normal,Normal,Routine,D009A
642,109.2328499917806,-0.4469419365318155,0.0,0.4638337978383642,Normal,Normal,Routine,D009A
643,109.23302755154421,-0.44697119831425725,0.0,0.3655917171193877,Abnormal,Abnormal,Monitor,D009A
644,109.2332966805539,-0.44694286584478127,0.0,0.3884411171037657,Abnormal,Abnormal,Monitor,D009A
645,109.2333752637732,-0.4469290934308913,0.0,0.4664102263691597,Normal,Normal,Routine,D009A
646,109.23351592380679,-0.44694568519421907,0.0,0.44234049677885406,Normal,Normal,Routine,D009A
647,109.2313887517715,-0.446831419994163,0.0,0.49021594721846784,Normal,Normal,Routine,D009A
