Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
1437,109.23192768,-0.4224414,3.5,0.483,Kenthosan,Abnormal,Field_Verification,D001A,0.5374967455863953,Healthy,Good,,D01
1438,109.23326448,-0.42759982,3.48,0.286,Kenthosan,Abnormal,Field_Verification,D001A,0.3447543382644653,Suspect,Critical,Priority Survey,D01
1439,109.23210236,-0.42458055,3.46,0.294,Kenthosan,Abnormal,Field_Verification,D001A,0.360923707485199,Suspect,Critical,Priority Survey,D01
1440,109.23316916,-0.42607651,3.44,0.35,TBM,Healthy,,D001A,0.4138295352458954,Abnormal,Sub-Optimal,Monitor,D01
1441,109.23282125,-0.42729859,3.44,0.43,TBM,Healthy,,D001A,0.486540138721466,Healthy,Good,,D01
1442,109.23301197,-0.42603714,3.44,0.326,TBM,Healthy,,D001A,0.3827734887599945,Suspect,Critical,Priority Survey,D01
1443,109.23316203,-0.42386324,3.44,0.332,TBM,Healthy,,D001A,0.3942981660366058,Abnormal,Sub-Optimal,Monitor,D01
1444,109.23207733,-0.42993942,3.44,0.398,Kenthosan,Abnormal,Field_Verification,D001A,0.4524450004100799,Normal,Moderate,Routine,D01
1445,109.23323254,-0.42388767,3.43,0.411,TBM,Healthy,,D001A,0.4723460972309112,Healthy,Good,,D01
1446,109.23256177,-0.42282813,3.43,0.354,TBM,Healthy,,D001A,0.4160216152667999,Abnormal,Sub-Optimal,Monitor,D01
1447,109.23176801,-0.42344061,3.43,0.351,Kenthosan,Abnormal,Field_Verification,D001A,0.4148017466068268,Abnormal,Sub-Optimal,Monitor,D01
1448,109.23315982,-0.42568449,3.43,0.34,TBM,Healthy,,D001A,0.4074901342391968,Abnormal,Sub-Optimal,Monitor,D01
1449,109.23323561,-0.4241775,3.41,0.463,Kenthosan,Abnormal,Field_Verification,D001A,0.5185325741767883,Healthy,Good,,D01
1450,109.2324054,-0.42312244,3.41,0.38,Kenthosan,Abnormal,Field_Verification,D001A,0.439362108707428,Normal,Moderate,Routine,D01
1451,109.23293036,-0.42743652,3.41,0.333,TBM,Healthy,,D001A,0.401824802160263,Abnormal,Sub-Optimal,Monitor,D01
1452,109.23309276,-0.42232456,3.4,0.429,TBM,Healthy,,D001A,0.486950010061264,Healthy,Good,,D01
1453,109.23307337,-0.42466171,3.38,0.412,Kenthosan,Abnormal,Field_Verification,D001A,0.4721253514289856,Healthy,Good,,D01
1454,109.23287309,-0.42251984,3.38,0.317,TBM,Healthy,,D001A,0.380471408367157,Suspect,Critical,Priority Survey,D01
1455,109.23322621,-0.4240735,3.38,0.367,TBM,Healthy,,D001A,0.4215338230133056,Abnormal,Sub-Optimal,Monitor,D01
1456,109.23169878,-0.4217256,3.35,0.345,TBM,Healthy,,D001A,0.4071007370948791,Abnormal,Sub-Optimal,Monitor,D01
1457,109.23333606,-0.42488152,3.35,0.3,TBM,Healthy,,D001A,0.3642868995666504,Suspect,Critical,Priority Survey,D01
1458,109.23265114,-0.42283674,3.34,0.337,Kenthosan,Abnormal,Field_Verification,D001A,0.4009860455989837,Abnormal,Sub-Optimal,Monitor,D01
1459,109.2316991,-0.42230389,3.34,0.385,Kenthosan,Abnormal,Field_Verification,D001A,0.4458474218845367,Normal,Moderate,Routine,D01
1460,109.23320817,-0.42439045,3.34,0.382,TBM,Healthy,,D001A,0.4394657611846924,Normal,Moderate,Routine,D01
1461,109.23337556,-0.42498055,3.33,0.434,TBM,Healthy,,D001A,0.4972157776355743,Healthy,Good,,D01
1462,109.23145638,-0.42512163,3.33,0.347,Kenthosan,Abnormal,Field_Verification,D001A,0.4087269902229309,Abnormal,Sub-Optimal,Monitor,D01
1463,109.23272644,-0.42351951,3.32,0.409,Kenthosan,Abnormal,Field_Verification,D001A,0.4679696559906006,Healthy,Good,,D01
1464,109.23174861,-0.4218287,3.32,0.368,TBM,Healthy,,D001A,0.4294376969337463,Abnormal,Sub-Optimal,Monitor,D01
1465,109.23339728,-0.42623165,3.31,0.358,Kenthosan,Abnormal,Field_Verification,D001A,0.4246034026145935,Abnormal,Sub-Optimal,Monitor,D01
1466,109.23288069,-0.42465941,3.3,0.413,TBM,Healthy,,D001A,0.4754221439361572,Healthy,Good,,D01
1467,109.23273744,-0.42454724,3.3,0.377,TBM,Healthy,,D001A,0.437947005033493,Normal,Moderate,Routine,D01
1468,109.23277919,-0.42263466,3.3,0.332,TBM,Healthy,,D001A,0.3947077691555023,Abnormal,Sub-Optimal,Monitor,D01
1469,109.23309036,-0.42499812,3.3,0.475,Kenthosan,Abnormal,Field_Verification,D001A,0.5283624529838562,Healthy,Good,,D01
1470,109.23332918,-0.42550458,3.29,0.405,TBM,Healthy,,D001A,0.4607005715370178,Healthy,Good,,D01
1471,109.23248095,-0.42468192,3.28,0.368,TBM,Healthy,,D001A,0.4262678623199463,Abnormal,Sub-Optimal,Monitor,D01
1472,109.23344043,-0.42610596,3.27,0.396,Kenthosan,Abnormal,Field_Verification,D001A,0.4494073390960693,Normal,Moderate,Routine,D01
1473,109.23308207,-0.42590512,3.26,0.336,TBM,Healthy,,D001A,0.4033242762088775,Abnormal,Sub-Optimal,Monitor,D01
1474,109.23298888,-0.42488686,3.26,0.408,TBM,Healthy,,D001A,0.4696710407733917,Healthy,Good,,D01
