Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Reclassified,Was_TBM
313,109.23191887,-0.44887411,12.33,0.385,TM,Healthy,,D009A,0.385,Suspect,Critical,Priority Survey,D09,original,False
314,109.23232102,-0.44059808,12.33,0.432,TM,Healthy,,D009A,0.432,Normal,Moderate,Routine,D09,original,False
315,109.23292965,-0.44606245,12.33,0.434,TM,Healthy,,D009A,0.434,Normal,Moderate,Routine,D09,original,False
316,109.23234802,-0.4403797,12.31,0.458,TM,Healthy,,D009A,0.458,Normal,Moderate,Routine,D09,original,False
317,109.23288781,-0.44632785,12.3,0.446,TM,Healthy,,D009A,0.446,Normal,Moderate,Routine,D09,original,False
318,109.23315588,-0.44474132,12.28,0.526,TM,Healthy,,D009A,0.526,Healthy,Good,None,D09,original,False
319,109.23192866,-0.44169535,12.28,0.608,TM,Healthy,,D009A,0.608,Healthy,Good,None,D09,original,False
320,109.23167536,-0.4416659,12.26,0.514,TM,Healthy,,D009A,0.514,Healthy,Good,None,D09,original,False
321,109.23190093,-0.44874344,12.24,0.349,TM,Suspect,Circle_5m,D009A,0.349,Suspect,Critical,Priority Survey,D09,original,False
322,109.23207809,-0.44226555,12.24,0.577,TM,Healthy,,D009A,0.577,Healthy,Good,None,D09,original,False
323,109.23186475,-0.44416,12.23,0.451,TM,Healthy,,D009A,0.451,Normal,Moderate,Routine,D09,original,False
324,109.23242549,-0.44887152,12.23,0.407,TM,Healthy,,D009A,0.407,Abnormal,Sub-Optimal,Monitor,D09,original,False
325,109.23235779,-0.44085039,12.22,0.461,TM,Healthy,,D009A,0.461,Healthy,Good,None,D09,original,False
326,109.23172315,-0.44088234,12.22,0.379,TM,Suspect,Circle_5m,D009A,0.379,Suspect,Critical,Priority Survey,D09,original,False
327,109.23161175,-0.44282384,12.21,0.52,TM,Healthy,,D009A,0.52,Healthy,Good,None,D09,original,False
328,109.23181927,-0.4446456,12.21,0.486,TM,Healthy,,D009A,0.486,Healthy,Good,None,D09,original,False
329,109.23141581,-0.4471183,12.21,0.539,TM,Healthy,,D009A,0.539,Healthy,Good,None,D09,original,False
330,109.23227426,-0.44078029,12.21,0.432,TM,Healthy,,D009A,0.432,Normal,Moderate,Routine,D09,original,False
331,109.23240904,-0.44064422,12.2,0.519,TM,Healthy,,D009A,0.519,Healthy,Good,None,D09,original,False
332,109.23263323,-0.44598506,12.19,0.444,TM,Healthy,,D009A,0.444,Normal,Moderate,Routine,D09,original,False
333,109.23208431,-0.44255402,12.18,0.401,TM,Healthy,,D009A,0.401,Abnormal,Sub-Optimal,Monitor,D09,original,False
334,109.23190543,-0.44307621,12.18,0.418,TM,Healthy,,D009A,0.418,Abnormal,Sub-Optimal,Monitor,D09,original,False
335,109.23167047,-0.44898257,12.17,0.464,TM,Healthy,,D009A,0.464,Healthy,Good,None,D09,original,False
336,109.23168094,-0.44273252,12.17,0.455,TM,Healthy,,D009A,0.455,Normal,Moderate,Routine,D09,original,False
337,109.23182234,-0.44306805,12.17,0.341,TM,Suspect,Circle_5m,D009A,0.341,Suspect,Critical,Priority Survey,D09,original,False
338,109.23165296,-0.44708671,12.17,0.485,TM,Healthy,,D009A,0.485,Healthy,Good,None,D09,original,False
339,109.2317486,-0.44150676,12.16,0.445,TM,Healthy,,D009A,0.445,Normal,Moderate,Routine,D09,original,False
340,109.23189321,-0.44157326,12.16,0.419,TM,Healthy,,D009A,0.419,Abnormal,Sub-Optimal,Monitor,D09,original,False
341,109.23165424,-0.44734986,12.15,0.423,TM,Healthy,,D009A,0.423,Abnormal,Sub-Optimal,Monitor,D09,original,False
342,109.23148855,-0.44904899,12.14,0.424,TM,Healthy,,D009A,0.424,Abnormal,Sub-Optimal,Monitor,D09,original,False
343,109.2316284,-0.44079551,12.13,0.448,TM,Healthy,,D009A,0.448,Normal,Moderate,Routine,D09,original,False
344,109.23180761,-0.44269593,12.13,0.418,TM,Healthy,,D009A,0.418,Abnormal,Sub-Optimal,Monitor,D09,original,False
345,109.23240353,-0.44868659,12.12,0.444,TM,Healthy,,D009A,0.444,Normal,Moderate,Routine,D09,original,False
346,109.2317318,-0.44795349,12.11,0.445,TM,Healthy,,D009A,0.445,Normal,Moderate,Routine,D09,original,False
347,109.23183381,-0.44768992,12.1,0.435,TM,Healthy,,D009A,0.435,Normal,Moderate,Routine,D09,original,False
348,109.2321705,-0.44272857,12.1,0.412,TM,Healthy,,D009A,0.412,Abnormal,Sub-Optimal,Monitor,D09,original,False
